keyword,num
D-League, 12
Canton, 6
Charge, 6
team, 5
Nick, 5
league, 4
guys, 4
rights, 4
chance, 3
Rudez, 3
NBA, 3
Johnson, 3
Onuaku, 3
hope, 3
spot, 3
undersized, 2
glad, 2
giving, 2
Cleveland, 2
kid, 2
played, 2
summer, 2
nick, 2
cool, 2
bench, 2
rockets, 2
captain, 2
roster, 2
remember, 2
seen, 2
shot, 2
Chongqing, 2
Flying, 2
Dragons, 2
Philippines, 2
huge, 2
wingspans, 2
body, 2
pretty, 2
Start, 1
era, 1
Hell, 1
yeah, 1
Little, 1
playstyle, 1
incredible, 1
mini-Shaq, 1
signing, 1
freakishly, 1
strong, 1
raw, 1
deleted, 1
luck, 1
Hope, 1
takes, 1
advantage, 1
opportunity, 1
suns, 1
liked, 1
Cuse, 1
cut, 1
five, 1
Giving, 1
partial, 1
guarantees, 1
taking, 1
salary, 1
lot, 1
easier, 1
probably, 1
overseas, 1
signed, 1
refusal, 1
Cliff, 1
Alexander, 1
GOAT, 1
quickly, 1
developed, 1
overall, 1
PF, 1
time, 1
DAMO, 1
Damjan, 1
bronze, 1
card, 1
sniper, 1
funny, 1
ass, 1
Gordon, 1
Arizona, 1
connection, 1
YESSSSSSSSSSSSSSSSSSSSSSSSSSSSS, 1
disappointed, 1
ayyyy, 1
johnson, 1
getting, 1
rebounder, 1
charge, 1
dunno, 1
pacer, 1
