keyword,num
Ersan, 14
Ilyasova, 11
charges, 10
bench, 7
league, 6
lot, 6
Lowry, 5
underrated, 4
starters, 4
guys, 4
Belinelli, 4
bucks, 3
probably, 3
murder, 3
lead, 3
flopping, 3
charge, 3
LeBron, 3
team, 3
sixers, 3
stretch, 3
kinda, 3
Marco, 3
whenever, 3
reason, 2
Ersanity, 2
love, 2
Giannis, 2
watch, 2
starting, 2
position, 2
Arsen, 2
looking, 2
shooter, 2
rebounder, 2
plays, 2
felony, 2
giving, 2
draw, 2
wherever, 2
goes, 2
day, 2
past, 2
tell, 2
basketball, 2
fouls, 2
damn, 2
dude, 2
god, 2
neck, 2
seen, 2
looks, 2
miss, 2
exactly, 2
saric, 2
teams, 2
veteran, 2
actually, 2
schedule, 2
Hanson, 2
brothers, 2
Ok, 2
unit, 2
leads, 2
instant, 2
half, 2
person, 2
ErsanForMVP, 1
Basically, 1
affects, 1
Bucks, 1
boi, 1
Norm, 1
start, 1
Kawhi, 1
Wizards, 1
Fucking, 1
BASICALLY, 1
DIFFERENCE, 1
podracing, 1
fat, 1
helping, 1
Wood, 1
backup, 1
PF, 1
Over/under, 1
boys, 1
Classic, 1
ERSANITY, 1
INCOMING, 1
thats, 1
replacement, 1
Trap, 1
alert, 1
Ilyasov, 1
Amazing, 1
criminally, 1
stand, 1
defense, 1
Wolves, 1
