keyword,num
Blazers, 5
league, 4
Turner, 4
LaMarcus, 3
Aldridge, 3
public, 3
Evan, 3
love, 3
team, 3
leader, 2
times, 2
statement, 2
interview, 2
Kuzma, 2
people, 2
speak, 2
NBA, 2
saying, 2
lot, 2
ya, 2
shooting, 2
fucking, 2
Lonzo, 2
reporters, 2
Forsberg, 2
Dame, 2
Honestly, 1
guarantee, 1
hes, 1
title, 1
goes, 1
LMA, 1
legit, 1
heard, 1
row, 1
know-, 1
filler, 1
word, 1
beginning, 1
Blazer, 1
fans, 1
listened, 1
Lamarcus, 1
interviews, 1
nine, 1
probably, 1
notice, 1
tell, 1
truth, 1
decent, 1
bball, 1
speakers, 1
reminds, 1
lamarcus, 1
minutes, 1
youknowwhatimsaying, 1
taking, 1
census, 1
v=4q6uxn7tUuc, 1
app=desktop, 1
John, 1
Wall, 1
Looks, 1
finally, 1
proven, 1
correct, 1
roughly, 1
post-game, 1
sounds, 1
Kermit, 1
frog, 1
Brook, 1
Lopez, 1
Lowe, 1
podcasts, 1
non-players, 1
guests, 1
fun, 1
speech, 1
impediments, 1
Obama, 1
considered, 1
speaker, 1
abuses, 1
perfect, 1
Public, 1
speaking, 1
easy, 1
Lot, 1
individuals, 1
massive, 1
anxiety, 1
required, 1
millions, 1
exhausting, 1
funny, 1
quotes, 1
remember, 1
study, 1
unintelligent, 1
