keyword,num
Evans, 6
Martin, 4
Isaac, 3
team, 3
Grizzlies, 3
league, 3
Jarell, 3
crowd, 3
Orlando, 2
PF, 2
Jonathan, 2
Bamba, 2
Gordon, 2
Birch, 2
athletic, 2
frontcourt, 2
lmao, 2
screen, 2
Lee, 2
foot, 2
KP, 2
nice, 2
move, 2
Tyreke, 2
dumb, 2
Tank, 2
Commander, 2
trade, 2
worst, 2
starting, 2
heating, 2
Marc, 2
crazy, 2
Damn, 2
Magic, 1
averaged, 1
rpg, 1
playing, 1
backup, 1
AG, 1
upside, 1
Courtney, 1
set, 1
Porzingis, 1
replay, 1
tripped, 1
wo, 1
silent, 1
stepped, 1
noticed, 1
CL, 1
actually, 1
trips, 1
trading, 1
dumbest, 1
recent, 1
saying, 1
consequential, 1
defensible, 1
Bickerstaff, 1
fuck, 1
frontoffice, 1
passes, 1
moves, 1
Probably, 1
Chicago, 1
Holy, 1
stand, 1
chance, 1
played, 1
pack, 1
boys, 1
winner, 1
lineup, 1
Tankathon, 1
commence, 1
Tanking, 1
race, 1
refused, 1
lmaoooo, 1
traded, 1
Gasol, 1
bidder, 1
note, 1
JaMychal, 1
Green, 1
round, 1
pick, 1
Fucking, 1
Harrison, 1
heard, 1
twins, 1
drafted, 1
competition, 1
Ducks, 1
disguise, 1
TANK, 1
COMMANDER, 1
BICKERSTAFF, 1
call, 1
