keyword,num
team, 9
defense, 8
Huestis, 6
Grant, 6
OKC, 6
usage, 5
love, 4
efficiency, 4
minutes, 3
huestis, 3
looked, 3
contract, 3
option, 3
dude, 3
stats, 3
TS, 3
actually, 3
decrease, 3
ppg, 3
ball, 3
nba, 3
defenders, 3
Kyle, 2
Singler, 2
Josh, 2
traded, 2
pick, 2
time, 2
expected, 2
looking, 2
trade, 2
rounders, 2
okc, 2
lot, 2
hard, 2
line, 2
career, 2
hope, 2
Thunder, 2
goes, 2
stupid, 2
na, 2
Mario, 2
picked, 2
Dude, 2
makes, 2
athletic, 2
zero, 2
dip, 2
Westbrook, 2
basketball, 2
gone, 2
double, 2
playing, 2
Suddenly, 2
reason, 2
former, 2
thunder, 2
blocks, 2
Harden, 2
league, 2
super, 2
pro, 2
Especially, 2
hand, 2
Probably, 1
Bulls, 1
crap, 1
somehow, 1
diamond, 1
rough, 1
quality, 1
Huh, 1
plays, 1
yeah, 1
cool, 1
preseason, 1
prediction, 1
deadline, 1
round, 1
difference, 1
progressed, 1
significantly, 1
decide, 1
harder, 1
replace, 1
surprised, 1
doubt, 1
Presti, 1
late, 1
lottery, 1
wo, 1
future, 1
low, 1
packaged, 1
singler, 1
expensive, 1
performance, 1
stayed, 1
deserves, 1
