keyword,num
team, 4
time, 4
jersey, 4
Anderson, 3
probably, 3
Brazil, 3
Warriors, 3
champion, 3
cool, 3
Reggie, 3
championship, 2
cavs, 2
warriors, 2
Varejao, 2
Brazilian, 2
Barbosa, 2
Suns, 2
Golden, 2
ring, 2
spent, 2
affection, 2
represents, 2
NBA, 2
brazilian, 2
playing, 2
generation, 2
played, 2
Evans, 2
favorite, 2
suns, 2
fan, 2
Bucks, 2
mpg, 2
Wait, 1
varejao, 1
win, 1
seasons, 1
lost, 1
Imagine, 1
guys, 1
coming, 1
bench, 1
prime, 1
drafted, 1
monster, 1
deleted, 1
varajeo, 1
worst, 1
league, 1
Honestly, 1
knowledge, 1
football, 1
favelas, 1
believe, 1
rookie, 1
Subway, 1
surfers, 1
Varejão, 1
liked, 1
quote, 1
call, 1
told, 1
vote, 1
coaching, 1
staff, 1
decided, 1
deserved, 1
receive, 1
recognition, 1
makes, 1
proud, 1
honored, 1
accept, 1
title, 1
history, 1
moment, 1
thank, 1
franchise, 1
coaches, 1
fans, 1
accompany, 1
daily, 1
basis, 1
positive, 1
thanks, 1
na, 1
Shampionship, 1
kinda, 1
sad, 1
careers, 1
Tiago, 1
Spliter, 1
wont, 1
Nene, 1
hurt, 1
consist, 1
Bruno, 1
Cabloco, 1
depressive, 1
bye, 1
