keyword,num
Tobey, 8
Hornets, 5
WHITE, 4
white, 4
nice, 4
Christian, 3
Wood, 3
signing, 3
literally, 2
minutes, 2
BIGS, 2
getting, 2
family, 2
ta, 2
Sounds, 1
name, 1
randomly, 1
generates, 1
Free, 1
Agents, 1
MyGM, 1
mode, 1
legit, 1
dude, 1
mccallum, 1
fans, 1
Duuude, 1
rules, 1
super, 1
underutilized, 1
Virginia, 1
Kaminsky, 1
hang, 1
TALL, 1
officially, 1
matched, 1
KD, 1
superstar, 1
damn, 1
time, 1
started, 1
filling, 1
bottom, 1
roster, 1
spots, 1
guys, 1
instead, 1
bums, 1
Jason, 1
Maxiell, 1
kept, 1
Troy, 1
Daniels, 1
Brian, 1
Roberts, 1
Jordan, 1
Bird, 1
Definition, 1
weenie, 1
tbh, 1
HALLELUJAH, 1
liked, 1
brief, 1
clips, 1
hoping, 1
hed, 1
called, 1
start, 1
backup, 1
Literally, 1
Hawes/Hibbert, 1
Plumlee, 1
paid, 1
starter, 1
complaint, 1
D-League, 1
lead, 1
team, 1
huge, 1
run, 1
cant, 1
worse, 1
plumlee, 1
Charlotte, 1
loves, 1
bigs, 1
YESSSSSSSSS, 1
deleted, 1
League, 1
fucked, 1
Ayeee, 1
Greensboro, 1
Swarm, 1
despite, 1
living, 1
street, 1
stadium, 1
fella, 1
undying, 1
support, 1
