keyword,num
Livingston, 6
time, 5
injury, 5
na, 5
school, 4
lot, 4
Steph, 4
Memphis, 4
days, 4
straight, 3
NBA, 3
Magic, 3
height, 3
coming, 3
PG, 3
league, 3
injured, 3
Shaun, 3
Iggy, 3
team, 3
main, 2
potential, 2
upside, 2
knee, 2
guard, 2
Johnson, 2
projected, 2
devastating, 2
hyped, 2
hype, 2
skills, 2
athletic, 2
quick, 2
Lonzo, 2
crazy, 2
defender, 2
wasnt, 2
injuries, 2
starting, 2
Andre, 2
getting, 2
warriors, 2
Warriors, 2
reaction, 2
shot, 2
beat, 2
Cousins, 2
GS, 2
rest, 2
develop/adjust, 1
attraction, 1
size, 1
paid, 1
EDIT, 1
ranked, 1
class, 1
committed, 1
Duke, 1
opting, 1
draft, 1
drew, 1
comparisons, 1
skillset, 1
standpoint, 1
superstar, 1
written, 1
definitely, 1
mismatch, 1
glad, 1
able, 1
Nah, 1
pretty, 1
huge, 1
people, 1
excited, 1
smooth, 1
ready, 1
demeanor, 1
deceptively, 1
perceivingly, 1
vision, 1
ability, 1
passes, 1
shorter, 1
PGs, 1
cant, 1
Guess, 1
closest, 1
current, 1
comparison, 1
Ball, 1
scorer, 1
questionable, 1
jumper, 1
improve, 1
length, 1
rebound, 1
potentially, 1
alot, 1
buzz, 1
